Seuence,CZB_ID,RR_ID,n_atcg,avg_depth ,mapped_reads,assay,ct
SEQ_072,RR066e_02406,RR066,28525,733.355,,N1,18.39
SEQ_072,RR066e_02409,RR066,29603,1272.166,,N1,5.64
SEQ_072,RR066e_02411,RR066,29787,1350.754,,N1,4.55
SEQ_072,RR066e_02416,RR066,28953,308.995,,N1,14.86
SEQ_072,RR066e_02417,RR066,29550,815.742,,N1,9.21
SEQ_072,RR066e_02422,RR066,29668,995.409,,N1,12.46
SEQ_072,RR066e_02427,RR066,28267,128.216,,N1,20.51
SEQ_072,RR066e_02433,RR066,29797,1248.771,,N1,3.38
SEQ_072,RR066e_02434,RR066,29779,794.859,,N1,14.48
SEQ_072,RR066e_02438,RR066,29044,387.363,,N1,16.11
SEQ_072,RR066e_02439,RR066,29285,1105.212,,N1,9.26
SEQ_072,RR066e_02441,RR066,29762,1162.07,,N1,10.2
SEQ_072,RR066e_02450,RR066,29596,1362.743,,N1,14.33
SEQ_072,RR066e_02451,RR066,29442,1112.736,,N1,8.85
SEQ_072,RR077e_00791,RR077,28983,1260.51,,ORF,19.2
SEQ_072,RR077e_00796,RR077,29731,566.768,,ORF,24.3
SEQ_072,RR077e_00818,RR077,29781,941.392,,ORF1ab,40
SEQ_072,RR077e_00818,RR077,29781,941.392,,ORF,40
SEQ_072,RR077e_00818,RR077,29781,941.392,,SC2,40
SEQ_072,RR077e_00818,RR077,29781,941.392,,N1,40
SEQ_072,RR077e_00851,RR077,29773,534.421,,ORF,20.3
SEQ_072,RR077e_00863,RR077,29784,752.966,,ORF,26.6
SEQ_072,RR096e_01381,RR096,27672,59.736,,ORF1ab,28.63
SEQ_072,RR096e_01383,RR096,29783,1214.874,,ORF1ab,17.18
SEQ_072,RR096e_01384,RR096,29305,658.236,,ORF1ab,22.29
SEQ_072,RR096e_01385,RR096,29058,392.873,,ORF1ab,29.99
SEQ_072,RR096e_01386,RR096,29559,1097.661,,ORF1ab,18.38
SEQ_072,RR096e_01392,RR096,29303,1014.668,,ORF1ab,28.03
SEQ_072,RR096e_01393,RR096,29582,771.411,,ORF1ab,24.09
SEQ_072,RR096e_01398,RR096,29787,1175.543,,ORF1ab,22.07
SEQ_072,RR096e_01399,RR096,29512,1125.505,,ORF1ab,22.46
SEQ_072,RR096e_01400,RR096,29611,1234.306,,ORF1ab,19.64
SEQ_072,RR096e_01401,RR096,29585,844.097,,ORF1ab,27.72
SEQ_072,RR096e_01406,RR096,29824,941.232,,ORF1ab,13.8
SEQ_072,RR096e_01407,RR096,29342,878.467,,ORF1ab,13.05
SEQ_072,RR096e_01408,RR096,29820,819.843,,ORF1ab,16.58
SEQ_072,RR096e_01409,RR096,29832,1328.299,,ORF1ab,14.17
SEQ_072,RR096e_01411,RR096,24667,15653.016,,ORF1ab,19.37
SEQ_072,RR096e_01414,RR096,29097,712.073,,ORF1ab,27.25
SEQ_072,RR096e_01415,RR096,29620,873.443,,ORF1ab,28.45
SEQ_072,RR096e_01416,RR096,29278,777.107,,ORF1ab,25.26
SEQ_072,RR096e_01422,RR096,29306,1069.836,,ORF1ab,24.81
SEQ_072,RR096e_01423,RR096,29545,1426.498,,ORF1ab,22.9
SEQ_072,RR096e_01424,RR096,29527,725.132,,ORF1ab,16.43
SEQ_072,RR096e_01431,RR096,29801,975.096,,ORF1ab,16.33
SEQ_072,RR096e_01432,RR096,29310,1039.531,,ORF1ab,22.2
SEQ_072,RR096e_01437,RR096,20757,1747.694,,ORF1ab,17.87
SEQ_072,RR096e_01438,RR096,29203,310.113,,ORF1ab,29.45
SEQ_072,RR096e_01445,RR096,29765,1024.121,,ORF1ab,17.97
SEQ_072,RR096e_01446,RR096,29301,637.687,,ORF1ab,28.18
SEQ_072,RR096e_01453,RR096,29474,642.955,,ORF1ab,28.96
SEQ_072,RR096e_01460,RR096,29676,1049.121,,ORF1ab,20.72
SEQ_072,RR096e_01461,RR096,29782,1096.667,,ORF1ab,22.08
SEQ_072,RR096e_01467,RR096,29533,1168.738,,ORF1ab,18.48
SEQ_072,RR096e_01469,RR096,29525,1397.839,,ORF1ab,20.64
SEQ_073,RR066e_02545,RR066,18825,6155.998,,N1,9.31
SEQ_073,RR073e_00154,RR073,351,0.898,,N1,33
SEQ_073,RR073e_00210,RR073,0,0,,N1,37
SEQ_073,RR073e_00213,RR073,18841,463.879,,N1,32
SEQ_073,RR073e_00216,RR073,18769,12469.082,,N1,18
SEQ_073,RR073e_00220,RR073,365,18.996,,N1,36
SEQ_073,RR073e_00221,RR073,0,0,,N1,35
SEQ_073,RR073e_00223,RR073,24649,9172.674,,N1,17
SEQ_073,RR073e_00225,RR073,21667,11515.801,,N1,18
SEQ_073,RR073e_00228,RR073,21859,22974.662,,N1,22
SEQ_073,RR073e_00229,RR073,21488,14393.254,,N1,20
SEQ_073,RR073e_00230,RR073,0,0,,N1,23
SEQ_073,RR073e_00231,RR073,18636,6175.171,,N1,28
SEQ_073,RR073e_00232,RR073,19324,16015.711,,N1,23
SEQ_073,RR074e_02235,RR074,138,0.308,,N,17.53
SEQ_073,RR075e_01083,RR075,0,0.026,,CoV,33.5
SEQ_073,RR077e_00659,RR077,0,0.003,,N,16.9
SEQ_073,RR096e_01596,RR096,18666,10240.687,,N,18.99
SEQ_073,RR096e_01598,RR096,22113,17.534,,N,17.4
SEQ_073,RR096e_01627,RR096,26283,10881.618,,N,14.6
SEQ_073,RR096e_01637,RR096,22007,12347.914,,N,17.43
SEQ_073,RR096e_01644,RR096,23098,18241.211,,N,18.1
SEQ_073,RR096e_01649,RR096,18635,11565.467,,N,19.95
SEQ_073,RR096e_01714,RR096,20826,8488.702,,N,15.04
SEQ_073,RR096e_01715,RR096,25614,6498.703,,N,15.82
